Nitawade-meter,Nitawade-cusecs,Balinge-meter,Balinge-cusecs,Shingnapur-meter,Shingnapur-cusecs,RB-Meter,RB-visarg-cusecs,Ichalkaranji-meter,Ichalkaranji-cusecs
547.7293226,65282,546.48,66016,545.6,66100,544.59,66164,548.5,64775
546.741267,64302,545.26,65031,545.2,65037,544.18,65067,547,63865
545.5589811,63286,544.04,64190,545.2,64199,543.85,64205,548,62954
547.0908337,63417,545.57,64060,544.9,64150,543.85,64201,547,62712
546.7635559,63271,545.26,64023,544.8,64057,534.8,64068,547,62817
546.972776,63068,545.57,63867,545,63952,543.78,64001,550,62747
546.4522848,63162,544.65,63723,544.7,63802,543.72,63868,548.75,62400
546.5539356,62786,544.96,63743,544.9,63751,543.7,63802,547.1666667,62588
545.7257451,63123,544.5,63662,544.6,63727,543.7,63802,547.5,62408
547.217386,62395,545.26,63197,544.1,63268,543.5,63269,547.8333333,62173
546.5968811,62168,544.96,63163,544.9,63226,543.5,63269,546.5,61861
546.3095215,62405,544.65,62976,544.3,63070,543.45,63136,546,62096
545.6030101,62204,544.35,62958,544.8,62984,543.42,63070,548.5,61910
546.1253063,61791,544.35,62685,544,62735,543.29,62737,548.25,61403
546.5455674,61414,544.65,62310,544.3,62320,543.19,62398,548.25,61140
545.248287,61630,543.89,62231,543.9,62274,543.17,62313,546.5,61290
546.1134058,60939,544.65,61759,544.2,61806,543.04,61888,548.3333333,60842
545.0803418,61189,543.74,61704,544.3,61705,542.99,61718,546.75,60398
545.6137636,60477,544.35,61292,543.2,61347,542.89,61379,548.25,59905
546.3432076,60608,544.5,61123,543.8,61144,542.84,61209,547.5,59967
545.4043527,60071,544.04,61064,543.9,61114,542.84,61209,550,59769
545.6593617,60172,544.04,60882,543.5,60955,542.78,61040,548,59977
545.5720656,59922,544.35,60843,543.9,60928,542.76,60955,549,59598
545.9159049,60150,544.5,60694,543.7,60789,542.73,60870,549,59439
55.26335577,60024,53.95,60803,544,60853,542.73,60870,548,59552
545.2923245,59812,544.04,60748,544.2,60788,542.73,60870,547,59410
545.9623855,59747,544.35,60647,543.6,60734,542.71,60785,549,59310
544.9857599,59684,543.13,60452,543.2,60503,542.63,60531,548,59051
545.7502532,59371,543.74,60148,543.4,60199,542.56,60276,547,58822
545.7827627,59263,544.04,60148,543.4,60222,542.56,60276,549.25,58779
545.9836995,59271,544.04,59982,543.5,60021,542.51,60107,548.3333333,58687
545.0177144,59393,543.74,59951,543.5,59969,542.48,60021,546.5,58975
544.6560421,58802,542.97,59688,543.4,59773,542.43,59852,548.75,58676
544.3641974,59058,542.82,59579,543.4,59589,542.38,59683,547.25,58445
544.7054508,58708,543.43,59656,543.3,59673,542.38,59682,545,58547
544.4885207,57298,543.13,58019,543.8,58069,542.3,58128,548.25,56913
545.673349,57455,544.04,58012,543.5,58058,542.3,58128,547.5,56865
544.7848972,56651,543.13,57545,543.2,57550,542.28,57610,546,56352
544.7960453,56592,543.13,57463,543.5,57556,542.28,57610,547,56251
544.6011283,56137,542.82,57075,543.3,57091,542.25,57093,546.5,55610
544.3400303,56247,542.82,57013,543.4,57073,542.25,57093,546,55998
543.9864974,56285,542.52,57007,542.9,57073,542.25,57093,547,56039
544.9964139,55147,543.74,56007,543.2,56041,542.2,56057,547.6666667,54989
544.5467447,54210,542.82,54983,542.9,55001,542.15,55021,544.5,53978
544.2246281,54374,542.52,54946,543,54959,542.15,55021,549,53645
544.3265137,54041,542.67,54885,543.3,54931,542.15,55020,544,53973
544.3954949,53139,543.13,53803,543,53892,542.1,53985,548.5,52606
543.9730297,53215,542.52,53896,543,53906,542.1,53985,549.5,52843
544.395512,53203,542.82,53882,543.4,53964,542.1,53985,547,52694
543.8204257,52040,542.21,52805,541,52862,542.05,52919,547,51657
544.808333,49024,542.97,50004,543,50098,541.92,50183,544,48711
544.460632,49167,542.52,50051,542.7,50124,541.92,50182,547.5,49024
544.7078271,48488,542.82,49453,542.8,49542,541.9,49635,547.5,48354
544.2099739,48137,542.52,48948,542.5,49016,541.87,49088,547,47969
544.733408,48213,542.82,49070,543,49080,541.87,49088,546,47826
545.3089996,47780,544.04,48393,542.4,48487,541.84,48540,545,47410
543.7356724,47160,541.76,47946,543,47989,541.82,47993,550.5,46529
544.5685558,47141,543.13,47889,542.5,47901,541.82,47993,552.5,46581
544.5172222,46048,542.52,46772,543,46836,541.77,46898,539.5,45581
544.2650563,45417,542.52,46027,542.7,46120,541.72,46129,551,44824
543.918093,45294,542.21,46072,542.6,46123,541.72,46129,548,44946
544.2648665,43546,542.52,44463,542.8,44518,541.62,44591,548,43245
542.4551226,43913,540.99,44565,542.3,44567,541.62,44591,546.25,43291
543.3668339,43378,541.91,44121,542.8,44133,541.59,44207,547,43048
